Categoria;Pregunta cliente ;Respuesta
saludo;Hola;Bienvenido a su servicio de spa. Cómo puedo ayudarle?
saludo;Buenos Dias;Bienvenido a su servicio de spa. Cómo puedo ayudarle?
saludo;Buenas Tardes;Bienvenido a su servicio de spa. Cómo puedo ayudare?
ServiciosOfrecidos;Deseo conocer los servicios que ofrece el spa?;Claro: nuestros servicios son: Manicure, pedicura, tratamiento facial, tratamiento capilar, masajes, exfoliacion. Desea hacer una reserva?
ServiciosOfrecidos;Tiene servicios para parejas?;Nuestros servicios se ofrecen para cliente individuales, para parejas y para grupos
Horarios;Quiero saber los horarios de atención ;Los horarios de atención son Lunes a Sabado de 10:00 am a 8:p.m y los Domingos de 10:a.m a 6:pm
Reservas;Quiero hacer una reserva;Para continuar con la reserva Indíquenos su nombre, edad  y el servicio que desea reservar
Reservas;Manicure;El servicio Manicure lo puede reservar en cualquiera de nustros horarios de atención, indicanos por favor fecha y hora que desea reservar
Reservas;Pedicure;El servicio Pedicure lo puede reservar en cualquiera de nustros horarios e atención, indiquenos por favor fecha y hora que desea reservar
Reservas;Tratamiento facial;Tratamient Facial lo puede reservar en cualquiera de nustros horarios e atención, indiquenos por favor fecha y hora que desea reservar 
Reservas;Tratamiento Capilar;Tratamiento capilar se ofrece de Lunes a Viernes de 10:00 a.m a 6:00 p.m., indiquenos por favor fecha y hora que desea reservar
Reservas;Masajes ;Masajes se ofrece de Lunes a Viernes de  10:00 a.m a 6:00 p.m., indiquenos por favor fecha y hora que desea reservar
